Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm]
Lattice,57,PLA,none,41.988364845319,10.0,2.5,0.3984274520979786,0.5,0.5976411781469679
Lattice,58,PLA,dense elastomer,10.652202652322648,10.0,2.5,1.1233425996786313,0.5,1.685013899517947
Lattice,59,PLA,foamed elastomer,10.652202652322648,10.0,2.5,1.1233425996786313,0.5,1.685013899517947
Lattice,60,PLA,none,10.652202652322648,10.0,2.5,1.1233425996786313,0.5,1.685013899517947
Lattice,61,PLA,dense elastomer,19.800392536997553,10.0,2.5,0.2817859306723915,0.5,0.4226788960085872
Lattice,62,PLA,foamed elastomer,19.800392536997553,10.0,2.5,0.2817859306723915,0.5,0.4226788960085872
Lattice,63,PLA,none,19.800392536997553,10.0,2.5,0.2817859306723915,0.5,0.4226788960085872
Lattice,64,PLA,dense elastomer,35.2222977661366,10.0,2.5,0.3671307625651085,0.5,0.5506961438476627
Lattice,65,PLA,foamed elastomer,35.2222977661366,10.0,2.5,0.3671307625651085,0.5,0.5506961438476627
Lattice,66,PLA,none,35.2222977661366,10.0,2.5,0.3671307625651085,0.5,0.5506961438476627
Lattice,67,PLA,dense elastomer,38.042744623561745,10.0,2.5,0.9564142408467522,0.5,1.4346213612701284
Lattice,68,PLA,foamed elastomer,38.042744623561745,10.0,2.5,0.9564142408467522,0.5,1.4346213612701284
Lattice,69,PLA,none,38.042744623561745,10.0,2.5,0.9564142408467522,0.5,1.4346213612701284
Lattice,70,PLA,dense elastomer,25.454109710362523,10.0,2.5,0.8535787112844018,0.5,1.2803680669266027
Lattice,71,PLA,foamed elastomer,25.454109710362523,10.0,2.5,0.8535787112844018,0.5,1.2803680669266027
Lattice,72,PLA,none,25.454109710362523,10.0,2.5,0.8535787112844018,0.5,1.2803680669266027
Lattice,73,PLA,dense elastomer,31.37868758038099,10.0,2.5,0.5955955962405595,0.5,0.8933933943608392
Lattice,74,PLA,foamed elastomer,31.37868758038099,10.0,2.5,0.5955955962405595,0.5,0.8933933943608392
Lattice,75,PLA,none,31.37868758038099,10.0,2.5,0.5955955962405595,0.5,0.8933933943608392
Lattice,76,PLA,dense elastomer,18.66304882596975,10.0,2.5,1.1557802616520954,0.5,1.733670392478143
Lattice,77,PLA,foamed elastomer,18.66304882596975,10.0,2.5,1.1557802616520954,0.5,1.733670392478143
Lattice,78,PLA,none,18.66304882596975,10.0,2.5,1.1557802616520954,0.5,1.733670392478143
Lattice,79,PLA,dense elastomer,37.426378504250145,10.0,2.5,1.1678957248561426,0.5,1.7518435872842137
Lattice,80,PLA,foamed elastomer,37.426378504250145,10.0,2.5,1.1678957248561426,0.5,1.7518435872842137
Lattice,81,PLA,none,37.426378504250145,10.0,2.5,1.1678957248561426,0.5,1.7518435872842137
Lattice,82,PLA,dense elastomer,31.445829611713698,10.0,2.5,1.111362066044306,0.5,1.667043099066459
Lattice,83,PLA,foamed elastomer,31.445829611713698,10.0,2.5,1.111362066044306,0.5,1.667043099066459
Lattice,84,PLA,none,31.445829611713698,10.0,2.5,1.111362066044306,0.5,1.667043099066459
Lattice,85,PLA,dense elastomer,30.5413599173851,10.0,2.5,0.6878690115953812,0.5,1.0318035173930717
Lattice,86,PLA,foamed elastomer,30.5413599173851,10.0,2.5,0.6878690115953812,0.5,1.0318035173930717
Lattice,87,PLA,none,30.5413599173851,10.0,2.5,0.6878690115953812,0.5,1.0318035173930717
Lattice,88,PLA,dense elastomer,40.85268292122663,10.0,2.5,1.0330769389012118,0.5,1.5496154083518177
Lattice,89,PLA,foamed elastomer,40.85268292122663,10.0,2.5,1.0330769389012118,0.5,1.5496154083518177
Lattice,90,PLA,none,40.85268292122663,10.0,2.5,1.0330769389012118,0.5,1.5496154083518177
Lattice,91,PLA,dense elastomer,35.67094459618377,10.0,2.5,0.7126126400174794,0.5,1.068918960026219
Lattice,92,PLA,foamed elastomer,35.67094459618377,10.0,2.5,0.7126126400174794,0.5,1.068918960026219
Lattice,93,PLA,none,35.67094459618377,10.0,2.5,0.7126126400174794,0.5,1.068918960026219
Lattice,94,PLA,dense elastomer,38.676450689727126,10.0,2.5,1.164177200969332,0.5,1.746265801453998
Lattice,95,PLA,foamed elastomer,38.676450689727126,10.0,2.5,1.164177200969332,0.5,1.746265801453998
Lattice,96,PLA,none,38.676450689727126,10.0,2.5,1.164177200969332,0.5,1.746265801453998
Lattice,97,PLA,dense elastomer,32.308457426918416,10.0,2.5,0.4606271860300932,0.5,0.6909407790451398
Lattice,98,PLA,foamed elastomer,32.308457426918416,10.0,2.5,0.4606271860300932,0.5,0.6909407790451398
Lattice,99,PLA,none,32.308457426918416,10.0,2.5,0.4606271860300932,0.5,0.6909407790451398
Lattice,100,PLA,dense elastomer,19.337634435047995,10.0,2.5,0.8689029911360544,0.5,1.3033544867040816
Lattice,101,PLA,foamed elastomer,19.337634435047995,10.0,2.5,0.8689029911360544,0.5,1.3033544867040816
Lattice,102,PLA,none,19.337634435047995,10.0,2.5,0.8689029911360544,0.5,1.3033544867040816
Lattice,103,PLA,dense elastomer,29.054002326525556,10.0,2.5,0.8174932951561842,0.5,1.2262399427342763
Lattice,104,PLA,foamed elastomer,29.054002326525556,10.0,2.5,0.8174932951561842,0.5,1.2262399427342763
Lattice,105,PLA,none,29.054002326525556,10.0,2.5,0.8174932951561842,0.5,1.2262399427342763
Lattice,106,PLA,dense elastomer,13.950325614726648,10.0,2.5,0.4247752851450773,0.5,0.637162927717616
Lattice,107,PLA,foamed elastomer,13.950325614726648,10.0,2.5,0.4247752851450773,0.5,0.637162927717616
Lattice,108,PLA,none,13.950325614726648,10.0,2.5,0.4247752851450773,0.5,0.637162927717616
Lattice,109,PLA,dense elastomer,47.9480417503362,10.0,2.5,0.8108804734464404,0.5,1.2163207101696607
Lattice,110,PLA,foamed elastomer,47.9480417503362,10.0,2.5,0.8108804734464404,0.5,1.2163207101696607
Lattice,111,PLA,none,47.9480417503362,10.0,2.5,0.8108804734464404,0.5,1.2163207101696607
Lattice,112,PLA,dense elastomer,23.633543837173093,10.0,2.5,0.8327908609307161,0.5,1.249186291396074
