Unit Cell,ID,Error,E1,E2,E3,Nu12,Nu13,Nu23,G12,G13,G23,Stiff volume,Total volume
Chiral,615,0.033393,51.4545440016994,7.11437604504907,591.333532489,1.98909348955441,0.0260015629464556,0.00357156987311449,54.7895737792769,166.623096929193,70.3616066524004,118.025020517973,398.27702998931
Chiral,616,0.050437,77.8072697908982,15.5369918699407,221.044313317009,1.00202821838567,0.101941613484957,0.0447620581504449,4.70285601491745,78.5313647535672,4.470429720034,121.918628140233,1113.32980907085
Chiral,617,0.067328,23.0671790992527,0.167742196331281,220.036915422242,6.20095157831999,0.030501737533823,0.000402412607597924,2.41026028448048,78.2107972925056,4.07137890504939,121.918628140233,1113.32980907085
Chiral,618,0.067277,3.26644533304979,0.00626782297507905,219.395931942501,21.406299104399,0.0044506471680962,8.91687469368651e-06,1.61316984604245,78.1662180603538,4.05492283431162,121.918628140233,1113.32980907085
Chiral,619,0.0177,6.34988479439006,4.42084763173628,172.150112247329,1.06049095543948,0.00825993334359305,0.0175598151356242,10.1941862735389,43.7961006617239,18.6113520718215,33.2820969176271,391.759043410966
Chiral,620,0.019807,1.06945463561692,0.203725105037489,170.926331971726,1.94630962210634,0.00165567325341928,0.000504444145409912,4.13789848860424,43.445497260385,18.2288933783216,33.2820969176271,391.759043410966
Chiral,621,0.019296,0.686490068000018,0.104790541489178,167.841254331438,2.26977539983879,0.00111713025457039,0.000229237800047248,2.67377975953904,43.3448037795935,18.1567867417444,33.2820969176271,391.759043410966
Chiral,622,0.019436,19.0444226091826,9.3676407385095,142.637696283315,0.996313891315122,0.0382588365093524,0.0424572229845734,2.77160476302033,46.259752785581,4.75699292089806,58.2729655831146,827.495065291876
Chiral,623,0.026441,2.96598588473384,0.152111854467123,141.532881943181,2.10198826507974,0.005976076471112,0.000572065972344418,0.92554344311728,45.9147918093897,4.35813064530203,58.2729655831146,827.495065291876
Chiral,624,0.026521,0.591842914037296,0.00423431003585172,139.577857485598,10.1779063433731,0.00124500057583268,7.59304722363359e-06,0.346024158947059,45.8072613509322,4.33688951694019,58.2729655831146,827.495065291876
Chiral,625,0.052589,25.8932873045126,17.8585637392041,526.757574776963,0.969325963450518,0.0149198731574306,0.0143378167672613,42.6820181925264,118.182894778857,89.4207516254868,76.1410882308435,291.691501677884
Chiral,626,0.050482,21.1703706355131,11.1315749655359,524.923192101633,1.02117266445126,0.0120965100208096,0.00639662940689664,38.4738664317791,117.822707036091,89.0221110951125,76.1410882308435,291.691501677884
Chiral,627,0.050884,21.0339790938059,11.0106748532585,518.472710988284,1.02290560507854,0.0118933086141134,0.00650867961706103,38.204485762063,117.626153319301,88.6698270336494,76.1410882308435,291.691501677884
Chiral,628,0.048983,108.444526496302,17.9818197401977,331.984783052338,0.988314220064305,0.0958440141806448,0.0330012117474804,4.92693796535134,118.226825068316,5.37380697313323,205.650353202687,1248.33340836974
Chiral,629,0.059611,43.6049750476086,0.196011334208054,331.015626249474,6.92647208397545,0.038797051593906,0.000294668408475101,2.99362267856685,117.919438392924,4.93700523901834,205.650353202687,1248.33340836974
Chiral,630,0.059893,13.0852948654304,0.0144802696941206,329.916704958851,25.9621143443905,0.0118851824901411,1.19602748962099e-05,2.1926335918167,117.82303596771,4.91898310463873,205.650353202687,1248.33340836974
Chiral,631,0.059243,32.1333976351998,31.1540861160432,598.185835029719,0.79366877413281,0.0182663667437907,0.0180602950569932,57.3216367275568,122.667719495724,120.277221502147,74.954366559363,252.805967249349
Chiral,632,0.05821,26.6991784569024,25.4956458508722,596.204069998171,0.740498559268485,0.0134512145342408,0.0128475861229328,55.2420186695688,122.292478075282,119.89885113374,74.954366559363,252.805967249349
Chiral,633,0.058876,26.5563079445992,25.3529063869244,585.715230268313,0.740361864944215,0.0135547147490866,0.0127849779346336,54.8086436965146,121.773207490245,119.500937181758,74.954366559363,252.805967249349
Chiral,634,0.029085,48.8813743576855,16.1304465645107,481.414096183382,1.14373888826332,0.0278727846181462,0.0187377244879983,33.2853261264311,140.914281026378,37.1464265708601,121.850542332457,509.975472828124
Chiral,635,0.02886,28.8264452553942,1.56713191161514,480.24429163143,2.90237113312557,0.0178481593294566,0.00104870859887755,19.228650899418,140.587003040588,36.677075738188,121.850542332457,509.975472828124
Chiral,636,0.028467,27.5210969786819,1.38765705848304,476.246273558678,3.07227004588469,0.0171380564218706,0.000881324002763281,18.1556437882032,140.322543177686,36.6092257249983,121.850542332457,509.975472828124
Chiral,637,0.031266,21.906538492561,9.70463893745334,390.815689136198,1.24511779377526,0.0121855921936056,0.0151418876261029,45.2468565080105,102.684089873818,49.3768971360581,71.3016427181952,368.114749464591
Chiral,638,0.032236,11.1992915984968,2.15477027365388,389.434873277737,1.95251308379141,0.00852910107871333,0.0017235773662585,29.9693613028333,102.348442431272,48.9800710458182,71.3016427181952,368.114749464591
Chiral,639,0.032206,10.8333252708465,2.04466304837538,384.759024726834,1.97861285450222,0.00823868748244519,0.00165698390765909,29.2103820770492,102.142100691482,48.8270936485756,71.3016427181952,368.114749464591
Chiral,640,0.034845,41.8127178105044,13.5342246444286,219.835382811362,0.989708385754659,0.055434127979306,0.038682248389429,3.35950194700919,74.8904979060471,4.76149099833702,115.256156361089,1058.54306081279
Chiral,641,0.043888,10.3441963925109,0.175284864513072,218.779582804295,3.05695927510243,0.0138006105232737,0.000413792279363934,1.34866999599694,74.5584557546899,4.34158810614791,115.256156361089,1058.54306081279
Chiral,642,0.043983,3.00044195895144,0.00707420362125252,217.57876528747,17.1474050622974,0.00411028073945559,1.03451919720321e-05,0.699767781134901,74.4902000249191,4.32227894579117,115.256156361089,1058.54306081279
Chiral,643,0.047935,53.6125078400645,14.2815939489037,385.233183239057,1.23971959471725,0.0366052609406152,0.0227570066619059,26.8096874733927,120.677229659192,24.4932862915408,109.903935799421,574.922246305787
Chiral,644,0.051929,18.7150604021797,0.593266277948237,384.095275619066,4.53791031329977,0.0142346867324215,0.00055470114334181,16.8496708048433,120.358149977196,24.0638163252606,109.903935799421,574.922246305787
Chiral,645,0.051863,15.4561171502851,0.43644050062625,381.454823155571,5.00690794948466,0.0120435978962423,0.000352043015126365,14.9457806066846,120.195780235438,24.0204424510202,109.903935799421,574.922246305787
