Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Inner radius [mm]
Chiral,61,PLA,dense elastomer,50.0,10.0,2.5,0.25,0.5,0.25,2.0
Chiral,62,PLA,foamed elastomer,50.0,10.0,2.5,0.25,0.5,0.25,2.0
Chiral,63,PLA,none,50.0,10.0,2.5,0.25,0.5,0.25,2.0
Chiral,64,PLA,dense elastomer,50.0,10.0,2.5,0.75,0.5,0.75,1.0
Chiral,65,PLA,foamed elastomer,50.0,10.0,2.5,0.75,0.5,0.75,1.0
Chiral,66,PLA,none,50.0,10.0,2.5,0.75,0.5,0.75,1.0
Chiral,67,PLA,dense elastomer,50.0,10.0,2.5,0.75,0.5,0.75,1.5
Chiral,68,PLA,foamed elastomer,50.0,10.0,2.5,0.75,0.5,0.75,1.5
Chiral,69,PLA,none,50.0,10.0,2.5,0.75,0.5,0.75,1.5
Chiral,70,PLA,dense elastomer,50.0,10.0,2.5,0.75,0.5,0.75,2.0
Chiral,71,PLA,foamed elastomer,50.0,10.0,2.5,0.75,0.5,0.75,2.0
Chiral,72,PLA,none,50.0,10.0,2.5,0.75,0.5,0.75,2.0
Chiral,73,PLA,dense elastomer,50.0,10.0,2.5,1.25,0.5,1.25,1.0
Chiral,74,PLA,foamed elastomer,50.0,10.0,2.5,1.25,0.5,1.25,1.0
Chiral,75,PLA,none,50.0,10.0,2.5,1.25,0.5,1.25,1.0
Chiral,76,PLA,dense elastomer,50.0,10.0,2.5,1.25,0.5,1.25,1.5
Chiral,77,PLA,foamed elastomer,50.0,10.0,2.5,1.25,0.5,1.25,1.5
Chiral,78,PLA,none,50.0,10.0,2.5,1.25,0.5,1.25,1.5
Chiral,79,PLA,dense elastomer,50.0,10.0,2.5,1.25,0.5,1.25,2.0
Chiral,80,PLA,foamed elastomer,50.0,10.0,2.5,1.25,0.5,1.25,2.0
Chiral,81,PLA,none,50.0,10.0,2.5,1.25,0.5,1.25,2.0
Chiral,82,PLA,dense elastomer,36.06701162081521,10.0,2.5,0.2513528301632302,0.5,0.2513528301632302,1.4700457679650467
Chiral,83,PLA,foamed elastomer,36.06701162081521,10.0,2.5,0.2513528301632302,0.5,0.2513528301632302,1.4700457679650467
Chiral,84,PLA,none,36.06701162081521,10.0,2.5,0.2513528301632302,0.5,0.2513528301632302,1.4700457679650467
Chiral,85,PLA,dense elastomer,44.18702723709929,10.0,2.5,1.242100868885247,0.5,1.242100868885247,1.062117843534002
Chiral,86,PLA,foamed elastomer,44.18702723709929,10.0,2.5,1.242100868885247,0.5,1.242100868885247,1.062117843534002
Chiral,87,PLA,none,44.18702723709929,10.0,2.5,1.242100868885247,0.5,1.242100868885247,1.062117843534002
Chiral,88,PLA,dense elastomer,20.5935272368433,10.0,2.5,0.30332585451313177,0.5,0.30332585451313177,1.7862293739982809
Chiral,89,PLA,foamed elastomer,20.5935272368433,10.0,2.5,0.30332585451313177,0.5,0.30332585451313177,1.7862293739982809
Chiral,90,PLA,none,20.5935272368433,10.0,2.5,0.30332585451313177,0.5,0.30332585451313177,1.7862293739982809
Chiral,91,PLA,dense elastomer,38.919481392648166,10.0,2.5,1.0206662157614044,0.5,1.0206662157614044,1.1387273481835885
Chiral,92,PLA,foamed elastomer,38.919481392648166,10.0,2.5,1.0206662157614044,0.5,1.0206662157614044,1.1387273481835885
Chiral,93,PLA,none,38.919481392648166,10.0,2.5,1.0206662157614044,0.5,1.0206662157614044,1.1387273481835885
Chiral,94,PLA,dense elastomer,19.589735663552105,10.0,2.5,1.197530417406866,0.5,1.197530417406866,1.1555579611658353
Chiral,95,PLA,foamed elastomer,19.589735663552105,10.0,2.5,1.197530417406866,0.5,1.197530417406866,1.1555579611658353
Chiral,96,PLA,none,19.589735663552105,10.0,2.5,1.197530417406866,0.5,1.197530417406866,1.1555579611658353
Chiral,97,PLA,dense elastomer,31.498498412469374,10.0,2.5,0.5036740484763951,0.5,0.5036740484763951,1.0210054047049648
Chiral,98,PLA,foamed elastomer,31.498498412469374,10.0,2.5,0.5036740484763951,0.5,0.5036740484763951,1.0210054047049648
Chiral,99,PLA,none,31.498498412469374,10.0,2.5,0.5036740484763951,0.5,0.5036740484763951,1.0210054047049648
Chiral,100,PLA,dense elastomer,34.48433583583319,10.0,2.5,0.3123097030863463,0.5,0.3123097030863463,1.3889951823237552
Chiral,101,PLA,foamed elastomer,34.48433583583319,10.0,2.5,0.3123097030863463,0.5,0.3123097030863463,1.3889951823237552
Chiral,102,PLA,none,34.48433583583319,10.0,2.5,0.3123097030863463,0.5,0.3123097030863463,1.3889951823237552
Chiral,103,PLA,dense elastomer,49.44559998664183,10.0,2.5,0.33094221690586173,0.5,0.33094221690586173,1.8937548177493126
Chiral,104,PLA,foamed elastomer,49.44559998664183,10.0,2.5,0.33094221690586173,0.5,0.33094221690586173,1.8937548177493126
Chiral,105,PLA,none,49.44559998664183,10.0,2.5,0.33094221690586173,0.5,0.33094221690586173,1.8937548177493126
Chiral,106,PLA,dense elastomer,44.204303016801234,10.0,2.5,1.2211243466147268,0.5,1.2211243466147268,1.0864074508282193
Chiral,107,PLA,foamed elastomer,44.204303016801234,10.0,2.5,1.2211243466147268,0.5,1.2211243466147268,1.0864074508282193
Chiral,108,PLA,none,44.204303016801234,10.0,2.5,1.2211243466147268,0.5,1.2211243466147268,1.0864074508282193
Chiral,109,PLA,dense elastomer,22.304531858045088,10.0,2.5,0.3599643311670737,0.5,0.3599643311670737,1.8705855990172306
Chiral,110,PLA,foamed elastomer,22.304531858045088,10.0,2.5,0.3599643311670737,0.5,0.3599643311670737,1.8705855990172306
Chiral,111,PLA,none,22.304531858045088,10.0,2.5,0.3599643311670737,0.5,0.3599643311670737,1.8705855990172306
Chiral,112,PLA,dense elastomer,25.573344469063542,10.0,2.5,1.0096006589599837,0.5,1.0096006589599837,1.3092969550603089
Chiral,113,PLA,foamed elastomer,25.573344469063542,10.0,2.5,1.0096006589599837,0.5,1.0096006589599837,1.3092969550603089
Chiral,114,PLA,none,25.573344469063542,10.0,2.5,1.0096006589599837,0.5,1.0096006589599837,1.3092969550603089
Chiral,115,PLA,dense elastomer,49.39703582617722,10.0,2.5,0.8881656174932501,0.5,0.8881656174932501,1.3955609764629984
Chiral,116,PLA,foamed elastomer,49.39703582617722,10.0,2.5,0.8881656174932501,0.5,0.8881656174932501,1.3955609764629984
Chiral,117,PLA,none,49.39703582617722,10.0,2.5,0.8881656174932501,0.5,0.8881656174932501,1.3955609764629984
Chiral,118,PLA,dense elastomer,32.429022449467624,10.0,2.5,1.0758641176909631,0.5,1.0758641176909631,1.6688192389412317
Chiral,119,PLA,foamed elastomer,32.429022449467624,10.0,2.5,1.0758641176909631,0.5,1.0758641176909631,1.6688192389412317
Chiral,120,PLA,none,32.429022449467624,10.0,2.5,1.0758641176909631,0.5,1.0758641176909631,1.6688192389412317
Chiral,121,PLA,dense elastomer,45.36602234973257,10.0,2.5,0.26128807338027543,0.5,0.26128807338027543,1.5193506037319684
Chiral,122,PLA,foamed elastomer,45.36602234973257,10.0,2.5,0.26128807338027543,0.5,0.26128807338027543,1.5193506037319684
Chiral,123,PLA,none,45.36602234973257,10.0,2.5,0.26128807338027543,0.5,0.26128807338027543,1.5193506037319684
Chiral,124,PLA,dense elastomer,32.76195474285534,10.0,2.5,0.29054506128933677,0.5,0.29054506128933677,1.178029162688468
Chiral,125,PLA,foamed elastomer,32.76195474285534,10.0,2.5,0.29054506128933677,0.5,0.29054506128933677,1.178029162688468
Chiral,126,PLA,none,32.76195474285534,10.0,2.5,0.29054506128933677,0.5,0.29054506128933677,1.178029162688468
Chiral,127,PLA,dense elastomer,11.368546351501111,10.0,2.5,1.0302970248662078,0.5,1.0302970248662078,1.546157867177601
Chiral,128,PLA,foamed elastomer,11.368546351501111,10.0,2.5,1.0302970248662078,0.5,1.0302970248662078,1.546157867177601
Chiral,129,PLA,none,11.368546351501111,10.0,2.5,1.0302970248662078,0.5,1.0302970248662078,1.546157867177601
Chiral,130,PLA,dense elastomer,35.70016471231362,10.0,2.5,0.6492406201016014,0.5,0.6492406201016014,1.2088783924959312
Chiral,131,PLA,foamed elastomer,35.70016471231362,10.0,2.5,0.6492406201016014,0.5,0.6492406201016014,1.2088783924959312
Chiral,132,PLA,none,35.70016471231362,10.0,2.5,0.6492406201016014,0.5,0.6492406201016014,1.2088783924959312
Chiral,133,PLA,dense elastomer,27.433338243337158,10.0,2.5,0.7111921107364333,0.5,0.7111921107364333,1.735517595621784
Chiral,134,PLA,foamed elastomer,27.433338243337158,10.0,2.5,0.7111921107364333,0.5,0.7111921107364333,1.735517595621784
Chiral,135,PLA,none,27.433338243337158,10.0,2.5,0.7111921107364333,0.5,0.7111921107364333,1.735517595621784
Chiral,136,PLA,dense elastomer,40.79355392897902,10.0,2.5,0.7928834515184824,0.5,0.7928834515184824,1.7823328390947597
Chiral,137,PLA,foamed elastomer,40.79355392897902,10.0,2.5,0.7928834515184824,0.5,0.7928834515184824,1.7823328390947597
Chiral,138,PLA,none,40.79355392897902,10.0,2.5,0.7928834515184824,0.5,0.7928834515184824,1.7823328390947597
Chiral,139,PLA,dense elastomer,18.449807504872325,10.0,2.5,1.015919680755621,0.5,1.015919680755621,1.222465692838597
Chiral,140,PLA,foamed elastomer,18.449807504872325,10.0,2.5,1.015919680755621,0.5,1.015919680755621,1.222465692838597
Chiral,141,PLA,none,18.449807504872325,10.0,2.5,1.015919680755621,0.5,1.015919680755621,1.222465692838597
Chiral,142,PLA,dense elastomer,23.59468975382981,10.0,2.5,0.44579125984724743,0.5,0.44579125984724743,1.0571154222333166
Chiral,143,PLA,foamed elastomer,23.59468975382981,10.0,2.5,0.44579125984724743,0.5,0.44579125984724743,1.0571154222333166
Chiral,144,PLA,none,23.59468975382981,10.0,2.5,0.44579125984724743,0.5,0.44579125984724743,1.0571154222333166
Chiral,145,PLA,dense elastomer,45.57184727486868,10.0,2.5,0.6850477894432403,0.5,0.6850477894432403,1.2034601590886218
Chiral,146,PLA,foamed elastomer,45.57184727486868,10.0,2.5,0.6850477894432403,0.5,0.6850477894432403,1.2034601590886218
Chiral,147,PLA,none,45.57184727486868,10.0,2.5,0.6850477894432403,0.5,0.6850477894432403,1.2034601590886218
Chiral,148,PLA,dense elastomer,24.747992897553175,10.0,2.5,1.046313306254254,0.5,1.046313306254254,1.2504931137244575
Chiral,149,PLA,foamed elastomer,24.747992897553175,10.0,2.5,1.046313306254254,0.5,1.046313306254254,1.2504931137244575
Chiral,150,PLA,none,24.747992897553175,10.0,2.5,1.046313306254254,0.5,1.046313306254254,1.2504931137244575
