Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Inner radius [mm]
Chiral,240,PLA,none,17.156625215066637,10.0,2.5,0.42673886981409626,0.5,0.42673886981409626,1.651941233624754
Chiral,241,PLA,dense elastomer,31.98672080891857,10.0,2.5,1.2065978666303023,0.5,1.2065978666303023,1.6794953179437377
Chiral,242,PLA,foamed elastomer,31.98672080891857,10.0,2.5,1.2065978666303023,0.5,1.2065978666303023,1.6794953179437377
Chiral,243,PLA,none,31.98672080891857,10.0,2.5,1.2065978666303023,0.5,1.2065978666303023,1.6794953179437377
Chiral,244,PLA,dense elastomer,31.02561106938834,10.0,2.5,1.1095557339080764,0.5,1.1095557339080764,1.236419594584501
Chiral,245,PLA,foamed elastomer,31.02561106938834,10.0,2.5,1.1095557339080764,0.5,1.1095557339080764,1.236419594584501
Chiral,246,PLA,none,31.02561106938834,10.0,2.5,1.1095557339080764,0.5,1.1095557339080764,1.236419594584501
Chiral,247,PLA,dense elastomer,33.630791402184954,10.0,2.5,0.9761468562413689,0.5,0.9761468562413689,1.129963209660472
Chiral,248,PLA,foamed elastomer,33.630791402184954,10.0,2.5,0.9761468562413689,0.5,0.9761468562413689,1.129963209660472
Chiral,249,PLA,none,33.630791402184954,10.0,2.5,0.9761468562413689,0.5,0.9761468562413689,1.129963209660472
Chiral,250,PLA,dense elastomer,36.203798308626794,10.0,2.5,0.6750664082917104,0.5,0.6750664082917104,1.5707094087013442
Chiral,251,PLA,foamed elastomer,36.203798308626794,10.0,2.5,0.6750664082917104,0.5,0.6750664082917104,1.5707094087013442
Chiral,252,PLA,none,36.203798308626794,10.0,2.5,0.6750664082917104,0.5,0.6750664082917104,1.5707094087013442
Chiral,253,PLA,dense elastomer,21.30013610019709,10.0,2.5,0.5439006216792301,0.5,0.5439006216792301,1.6303691145510333
Chiral,254,PLA,foamed elastomer,21.30013610019709,10.0,2.5,0.5439006216792301,0.5,0.5439006216792301,1.6303691145510333
Chiral,255,PLA,none,21.30013610019709,10.0,2.5,0.5439006216792301,0.5,0.5439006216792301,1.6303691145510333
Chiral,256,PLA,dense elastomer,25.339414622492484,10.0,2.5,0.3716043774725483,0.5,0.3716043774725483,1.9676624034648884
Chiral,257,PLA,foamed elastomer,25.339414622492484,10.0,2.5,0.3716043774725483,0.5,0.3716043774725483,1.9676624034648884
Chiral,258,PLA,none,25.339414622492484,10.0,2.5,0.3716043774725483,0.5,0.3716043774725483,1.9676624034648884
Chiral,259,PLA,dense elastomer,27.98424181857642,10.0,2.5,0.4824643450374193,0.5,0.4824643450374193,1.713864111044248
Chiral,260,PLA,foamed elastomer,27.98424181857642,10.0,2.5,0.4824643450374193,0.5,0.4824643450374193,1.713864111044248
Chiral,261,PLA,none,27.98424181857642,10.0,2.5,0.4824643450374193,0.5,0.4824643450374193,1.713864111044248
Chiral,262,PLA,dense elastomer,30.342804726638953,10.0,2.5,0.2808567114957684,0.5,0.2808567114957684,1.3808408060217914
Chiral,263,PLA,foamed elastomer,30.342804726638953,10.0,2.5,0.2808567114957684,0.5,0.2808567114957684,1.3808408060217914
Chiral,264,PLA,none,30.342804726638953,10.0,2.5,0.2808567114957684,0.5,0.2808567114957684,1.3808408060217914
Chiral,265,PLA,dense elastomer,46.26757517432274,10.0,2.5,0.6329425121202248,0.5,0.6329425121202248,1.6709415745220502
Chiral,266,PLA,foamed elastomer,46.26757517432274,10.0,2.5,0.6329425121202248,0.5,0.6329425121202248,1.6709415745220502
Chiral,267,PLA,none,46.26757517432274,10.0,2.5,0.6329425121202248,0.5,0.6329425121202248,1.6709415745220502
Chiral,268,PLA,dense elastomer,48.410769804477944,10.0,2.5,0.3211602246042644,0.5,0.3211602246042644,1.3329696178587858
Chiral,269,PLA,foamed elastomer,48.410769804477944,10.0,2.5,0.3211602246042644,0.5,0.3211602246042644,1.3329696178587858
Chiral,270,PLA,none,48.410769804477944,10.0,2.5,0.3211602246042644,0.5,0.3211602246042644,1.3329696178587858
Chiral,271,PLA,dense elastomer,37.83878766101752,10.0,2.5,0.7588910160349152,0.5,0.7588910160349152,1.5265575663361466
Chiral,272,PLA,foamed elastomer,37.83878766101752,10.0,2.5,0.7588910160349152,0.5,0.7588910160349152,1.5265575663361466
Chiral,273,PLA,none,37.83878766101752,10.0,2.5,0.7588910160349152,0.5,0.7588910160349152,1.5265575663361466
Chiral,274,PLA,dense elastomer,13.45450322103009,10.0,2.5,0.9120628367334532,0.5,0.9120628367334532,1.291184392056361
Chiral,275,PLA,foamed elastomer,13.45450322103009,10.0,2.5,0.9120628367334532,0.5,0.9120628367334532,1.291184392056361
Chiral,276,PLA,none,13.45450322103009,10.0,2.5,0.9120628367334532,0.5,0.9120628367334532,1.291184392056361
Chiral,277,PLA,dense elastomer,46.473595778491244,10.0,2.5,1.1941547183387848,0.5,1.1941547183387848,1.7951785369824333
Chiral,278,PLA,foamed elastomer,46.473595778491244,10.0,2.5,1.1941547183387848,0.5,1.1941547183387848,1.7951785369824333
Chiral,279,PLA,none,46.473595778491244,10.0,2.5,1.1941547183387848,0.5,1.1941547183387848,1.7951785369824333
Chiral,280,PLA,dense elastomer,44.921047626600284,10.0,2.5,1.162108024641253,0.5,1.162108024641253,1.2742321910169592
Chiral,281,PLA,foamed elastomer,44.921047626600284,10.0,2.5,1.162108024641253,0.5,1.162108024641253,1.2742321910169592
Chiral,282,PLA,none,44.921047626600284,10.0,2.5,1.162108024641253,0.5,1.162108024641253,1.2742321910169592
Chiral,283,PLA,dense elastomer,33.29067369416317,10.0,2.5,1.1207469916064023,0.5,1.1207469916064023,1.856637819912843
Chiral,284,PLA,foamed elastomer,33.29067369416317,10.0,2.5,1.1207469916064023,0.5,1.1207469916064023,1.856637819912843
Chiral,285,PLA,none,33.29067369416317,10.0,2.5,1.1207469916064023,0.5,1.1207469916064023,1.856637819912843
Chiral,286,PLA,dense elastomer,45.6969937777354,10.0,2.5,0.8332205181509683,0.5,0.8332205181509683,1.1347934035253773
Chiral,287,PLA,foamed elastomer,45.6969937777354,10.0,2.5,0.8332205181509683,0.5,0.8332205181509683,1.1347934035253773
Chiral,288,PLA,none,45.6969937777354,10.0,2.5,0.8332205181509683,0.5,0.8332205181509683,1.1347934035253773
Chiral,289,PLA,dense elastomer,38.16026693140621,10.0,2.5,0.6218513203744426,0.5,0.6218513203744426,1.921740433935648
Chiral,290,PLA,foamed elastomer,38.16026693140621,10.0,2.5,0.6218513203744426,0.5,0.6218513203744426,1.921740433935648
Chiral,291,PLA,none,38.16026693140621,10.0,2.5,0.6218513203744426,0.5,0.6218513203744426,1.921740433935648
Chiral,292,PLA,dense elastomer,23.205269610884773,10.0,2.5,0.795428266015408,0.5,0.795428266015408,1.0495054371525447
Chiral,293,PLA,foamed elastomer,23.205269610884773,10.0,2.5,0.795428266015408,0.5,0.795428266015408,1.0495054371525447
Chiral,294,PLA,none,23.205269610884773,10.0,2.5,0.795428266015408,0.5,0.795428266015408,1.0495054371525447
Chiral,295,PLA,dense elastomer,47.47077811936113,10.0,2.5,0.9054448368092147,0.5,0.9054448368092147,1.3671941227151032
Chiral,296,PLA,foamed elastomer,47.47077811936113,10.0,2.5,0.9054448368092147,0.5,0.9054448368092147,1.3671941227151032
Chiral,297,PLA,none,47.47077811936113,10.0,2.5,0.9054448368092147,0.5,0.9054448368092147,1.3671941227151032
Chiral,298,PLA,dense elastomer,44.65619808332549,10.0,2.5,0.7152123952916669,0.5,0.7152123952916669,1.6843582039579514
Chiral,299,PLA,foamed elastomer,44.65619808332549,10.0,2.5,0.7152123952916669,0.5,0.7152123952916669,1.6843582039579514
Chiral,300,PLA,none,44.65619808332549,10.0,2.5,0.7152123952916669,0.5,0.7152123952916669,1.6843582039579514
Chiral,301,PLA,dense elastomer,22.107693808610996,10.0,2.5,1.2141575216538547,0.5,1.2141575216538547,1.4539538892112145
Chiral,302,PLA,foamed elastomer,22.107693808610996,10.0,2.5,1.2141575216538547,0.5,1.2141575216538547,1.4539538892112145
Chiral,303,PLA,none,22.107693808610996,10.0,2.5,1.2141575216538547,0.5,1.2141575216538547,1.4539538892112145
Chiral,304,PLA,dense elastomer,18.058548913643495,10.0,2.5,0.6567691232957169,0.5,0.6567691232957169,1.4639009997097387
Chiral,305,PLA,foamed elastomer,18.058548913643495,10.0,2.5,0.6567691232957169,0.5,0.6567691232957169,1.4639009997097387
Chiral,306,PLA,none,18.058548913643495,10.0,2.5,0.6567691232957169,0.5,0.6567691232957169,1.4639009997097387
Chiral,307,PLA,dense elastomer,30.463648198049768,10.0,2.5,1.1168088372309515,0.5,1.1168088372309515,1.2673004149031901
Chiral,308,PLA,foamed elastomer,30.463648198049768,10.0,2.5,1.1168088372309515,0.5,1.1168088372309515,1.2673004149031901
Chiral,309,PLA,none,30.463648198049768,10.0,2.5,1.1168088372309515,0.5,1.1168088372309515,1.2673004149031901
Chiral,310,PLA,dense elastomer,15.203001462540836,10.0,2.5,0.9288307649592129,0.5,0.9288307649592129,1.111345005605058
Chiral,311,PLA,foamed elastomer,15.203001462540836,10.0,2.5,0.9288307649592129,0.5,0.9288307649592129,1.111345005605058
Chiral,312,PLA,none,15.203001462540836,10.0,2.5,0.9288307649592129,0.5,0.9288307649592129,1.111345005605058
Chiral,313,PLA,dense elastomer,40.39598204820824,10.0,2.5,0.8524144336551843,0.5,0.8524144336551843,1.2114210137013355
Chiral,314,PLA,foamed elastomer,40.39598204820824,10.0,2.5,0.8524144336551843,0.5,0.8524144336551843,1.2114210137013355
Chiral,315,PLA,none,40.39598204820824,10.0,2.5,0.8524144336551843,0.5,0.8524144336551843,1.2114210137013355
Chiral,316,PLA,dense elastomer,47.175923932260254,10.0,2.5,1.1359594415108707,0.5,1.1359594415108707,1.8194619947847566
Chiral,317,PLA,foamed elastomer,47.175923932260254,10.0,2.5,1.1359594415108707,0.5,1.1359594415108707,1.8194619947847566
Chiral,318,PLA,none,47.175923932260254,10.0,2.5,1.1359594415108707,0.5,1.1359594415108707,1.8194619947847566
Chiral,319,PLA,dense elastomer,34.10148680954131,10.0,2.5,0.26820331195214836,0.5,0.26820331195214836,1.878503207123525
Chiral,320,PLA,foamed elastomer,34.10148680954131,10.0,2.5,0.26820331195214836,0.5,0.26820331195214836,1.878503207123525
Chiral,321,PLA,none,34.10148680954131,10.0,2.5,0.26820331195214836,0.5,0.26820331195214836,1.878503207123525
Chiral,322,PLA,dense elastomer,11.444363845487512,10.0,2.5,0.49807285427565495,0.5,0.49807285427565495,1.500891628937311
Chiral,323,PLA,foamed elastomer,11.444363845487512,10.0,2.5,0.49807285427565495,0.5,0.49807285427565495,1.500891628937311
Chiral,324,PLA,none,11.444363845487512,10.0,2.5,0.49807285427565495,0.5,0.49807285427565495,1.500891628937311
Chiral,325,PLA,dense elastomer,17.412279377824312,10.0,2.5,0.5506637479274787,0.5,0.5506637479274787,1.4985121986894234
Chiral,326,PLA,foamed elastomer,17.412279377824312,10.0,2.5,0.5506637479274787,0.5,0.5506637479274787,1.4985121986894234
Chiral,327,PLA,none,17.412279377824312,10.0,2.5,0.5506637479274787,0.5,0.5506637479274787,1.4985121986894234
Chiral,328,PLA,dense elastomer,20.12807381368015,10.0,2.5,0.6926277411831476,0.5,0.6926277411831476,1.6853245263557097
Chiral,329,PLA,foamed elastomer,20.12807381368015,10.0,2.5,0.6926277411831476,0.5,0.6926277411831476,1.6853245263557097
Chiral,330,PLA,none,20.12807381368015,10.0,2.5,0.6926277411831476,0.5,0.6926277411831476,1.6853245263557097
Chiral,331,PLA,dense elastomer,27.348204504368006,10.0,2.5,0.5779540967885424,0.5,0.5779540967885424,1.7229372024764311
Chiral,332,PLA,foamed elastomer,27.348204504368006,10.0,2.5,0.5779540967885424,0.5,0.5779540967885424,1.7229372024764311
Chiral,333,PLA,none,27.348204504368006,10.0,2.5,0.5779540967885424,0.5,0.5779540967885424,1.7229372024764311
Chiral,334,PLA,dense elastomer,45.985054829612146,10.0,2.5,1.0141283459093142,0.5,1.0141283459093142,1.352279594419738
Chiral,335,PLA,foamed elastomer,45.985054829612146,10.0,2.5,1.0141283459093142,0.5,1.0141283459093142,1.352279594419738
Chiral,336,PLA,none,45.985054829612146,10.0,2.5,1.0141283459093142,0.5,1.0141283459093142,1.352279594419738
Chiral,337,PLA,dense elastomer,28.176327181794832,10.0,2.5,0.5203882524412531,0.5,0.5203882524412531,1.379287960717742
Chiral,338,PLA,foamed elastomer,28.176327181794832,10.0,2.5,0.5203882524412531,0.5,0.5203882524412531,1.379287960717742
Chiral,339,PLA,none,28.176327181794832,10.0,2.5,0.5203882524412531,0.5,0.5203882524412531,1.379287960717742
Chiral,340,PLA,dense elastomer,38.27468901005031,10.0,2.5,0.6689176145317575,0.5,0.6689176145317575,1.1624025923370533
Chiral,341,PLA,foamed elastomer,38.27468901005031,10.0,2.5,0.6689176145317575,0.5,0.6689176145317575,1.1624025923370533
Chiral,342,PLA,none,38.27468901005031,10.0,2.5,0.6689176145317575,0.5,0.6689176145317575,1.1624025923370533
Chiral,343,PLA,dense elastomer,26.48828542080922,10.0,2.5,0.6990053762633618,0.5,0.6990053762633618,1.5438860803607262
Chiral,344,PLA,foamed elastomer,26.48828542080922,10.0,2.5,0.6990053762633618,0.5,0.6990053762633618,1.5438860803607262
Chiral,345,PLA,none,26.48828542080922,10.0,2.5,0.6990053762633618,0.5,0.6990053762633618,1.5438860803607262
Chiral,346,PLA,dense elastomer,28.52243873684276,10.0,2.5,0.6713491677283443,0.5,0.6713491677283443,1.9500005177894693
Chiral,347,PLA,foamed elastomer,28.52243873684276,10.0,2.5,0.6713491677283443,0.5,0.6713491677283443,1.9500005177894693
Chiral,348,PLA,none,28.52243873684276,10.0,2.5,0.6713491677283443,0.5,0.6713491677283443,1.9500005177894693
Chiral,349,PLA,dense elastomer,13.290044614088607,10.0,2.5,0.45620258499460686,0.5,0.45620258499460686,1.593028387821478
Chiral,350,PLA,foamed elastomer,13.290044614088607,10.0,2.5,0.45620258499460686,0.5,0.45620258499460686,1.593028387821478
Chiral,351,PLA,none,13.290044614088607,10.0,2.5,0.45620258499460686,0.5,0.45620258499460686,1.593028387821478
Chiral,352,PLA,dense elastomer,37.69129057219137,10.0,2.5,0.5931891399121245,0.5,0.5931891399121245,1.4491721615676865
Chiral,353,PLA,foamed elastomer,37.69129057219137,10.0,2.5,0.5931891399121245,0.5,0.5931891399121245,1.4491721615676865
Chiral,354,PLA,none,37.69129057219137,10.0,2.5,0.5931891399121245,0.5,0.5931891399121245,1.4491721615676865
Chiral,355,PLA,dense elastomer,16.2049138625643,10.0,2.5,0.8584118650445918,0.5,0.8584118650445918,1.659176816410233
Chiral,356,PLA,foamed elastomer,16.2049138625643,10.0,2.5,0.8584118650445918,0.5,0.8584118650445918,1.659176816410233
Chiral,357,PLA,none,16.2049138625643,10.0,2.5,0.8584118650445918,0.5,0.8584118650445918,1.659176816410233
Chiral,358,PLA,dense elastomer,39.16245821207649,10.0,2.5,0.4524332517470796,0.5,0.4524332517470796,1.4062237633766235
Chiral,359,PLA,foamed elastomer,39.16245821207649,10.0,2.5,0.4524332517470796,0.5,0.4524332517470796,1.4062237633766235
Chiral,360,PLA,none,39.16245821207649,10.0,2.5,0.4524332517470796,0.5,0.4524332517470796,1.4062237633766235
Chiral,361,PLA,dense elastomer,41.05462289981604,10.0,2.5,0.5831079021536645,0.5,0.5831079021536645,1.0093980202735027
Chiral,362,PLA,foamed elastomer,41.05462289981604,10.0,2.5,0.5831079021536645,0.5,0.5831079021536645,1.0093980202735027
Chiral,363,PLA,none,41.05462289981604,10.0,2.5,0.5831079021536645,0.5,0.5831079021536645,1.0093980202735027
Chiral,364,PLA,dense elastomer,13.96357714266185,10.0,2.5,1.0525920666811377,0.5,1.0525920666811377,1.5602109239293127
Chiral,365,PLA,foamed elastomer,13.96357714266185,10.0,2.5,1.0525920666811377,0.5,1.0525920666811377,1.5602109239293127
Chiral,366,PLA,none,13.96357714266185,10.0,2.5,1.0525920666811377,0.5,1.0525920666811377,1.5602109239293127
Chiral,367,PLA,dense elastomer,39.62481114223014,10.0,2.5,0.7613226060418365,0.5,0.7613226060418365,1.1239037227899875
Chiral,368,PLA,foamed elastomer,39.62481114223014,10.0,2.5,0.7613226060418365,0.5,0.7613226060418365,1.1239037227899875
Chiral,369,PLA,none,39.62481114223014,10.0,2.5,0.7613226060418365,0.5,0.7613226060418365,1.1239037227899875
Chiral,370,PLA,dense elastomer,32.34017820921367,10.0,2.5,0.3828103725184423,0.5,0.3828103725184423,1.4436533803519551
Chiral,371,PLA,foamed elastomer,32.34017820921367,10.0,2.5,0.3828103725184423,0.5,0.3828103725184423,1.4436533803519551
Chiral,372,PLA,none,32.34017820921367,10.0,2.5,0.3828103725184423,0.5,0.3828103725184423,1.4436533803519551
Chiral,373,PLA,dense elastomer,33.92205384262901,10.0,2.5,0.4891567297351911,0.5,0.4891567297351911,1.3402764641492877
Chiral,374,PLA,foamed elastomer,33.92205384262901,10.0,2.5,0.4891567297351911,0.5,0.4891567297351911,1.3402764641492877
Chiral,375,PLA,none,33.92205384262901,10.0,2.5,0.4891567297351911,0.5,0.4891567297351911,1.3402764641492877
Chiral,376,PLA,dense elastomer,34.935785558118226,10.0,2.5,0.9332462295887876,0.5,0.9332462295887876,1.8261750472171618
Chiral,377,PLA,foamed elastomer,34.935785558118226,10.0,2.5,0.9332462295887876,0.5,0.9332462295887876,1.8261750472171618
Chiral,378,PLA,none,34.935785558118226,10.0,2.5,0.9332462295887876,0.5,0.9332462295887876,1.8261750472171618
Chiral,379,PLA,dense elastomer,12.390893835870886,10.0,2.5,0.7323653324975645,0.5,0.7323653324975645,1.9325763094880721
Chiral,380,PLA,foamed elastomer,12.390893835870886,10.0,2.5,0.7323653324975645,0.5,0.7323653324975645,1.9325763094880721
Chiral,381,PLA,none,12.390893835870886,10.0,2.5,0.7323653324975645,0.5,0.7323653324975645,1.9325763094880721
Chiral,382,PLA,dense elastomer,26.842833336612422,10.0,2.5,0.39007669195662353,0.5,0.39007669195662353,1.8449484688423738
Chiral,383,PLA,foamed elastomer,26.842833336612422,10.0,2.5,0.39007669195662353,0.5,0.39007669195662353,1.8449484688423738
Chiral,384,PLA,none,26.842833336612422,10.0,2.5,0.39007669195662353,0.5,0.39007669195662353,1.8449484688423738
Chiral,385,PLA,dense elastomer,25.127264831266707,10.0,2.5,1.0427414343329406,0.5,1.0427414343329406,1.4275811518433255
Chiral,386,PLA,foamed elastomer,25.127264831266707,10.0,2.5,1.0427414343329406,0.5,1.0427414343329406,1.4275811518433255
Chiral,387,PLA,none,25.127264831266707,10.0,2.5,1.0427414343329406,0.5,1.0427414343329406,1.4275811518433255
Chiral,388,PLA,dense elastomer,12.07397183663591,10.0,2.5,1.1337894916128841,0.5,1.1337894916128841,1.4243703394649165
Chiral,389,PLA,foamed elastomer,12.07397183663591,10.0,2.5,1.1337894916128841,0.5,1.1337894916128841,1.4243703394649165
Chiral,390,PLA,none,12.07397183663591,10.0,2.5,1.1337894916128841,0.5,1.1337894916128841,1.4243703394649165
Chiral,391,PLA,dense elastomer,39.22372118851975,10.0,2.5,0.7849642279930324,0.5,0.7849642279930324,1.3925441256050652
Chiral,392,PLA,foamed elastomer,39.22372118851975,10.0,2.5,0.7849642279930324,0.5,0.7849642279930324,1.3925441256050652
Chiral,393,PLA,none,39.22372118851975,10.0,2.5,0.7849642279930324,0.5,0.7849642279930324,1.3925441256050652
Chiral,394,PLA,dense elastomer,32.936707762974706,10.0,2.5,1.1460380117745816,0.5,1.1460380117745816,1.837152604606709
Chiral,395,PLA,foamed elastomer,32.936707762974706,10.0,2.5,1.1460380117745816,0.5,1.1460380117745816,1.837152604606709
Chiral,396,PLA,none,32.936707762974706,10.0,2.5,1.1460380117745816,0.5,1.1460380117745816,1.837152604606709
Chiral,397,PLA,dense elastomer,43.05983031987936,10.0,2.5,0.34228335289601386,0.5,0.34228335289601386,1.8620145279306641
Chiral,398,PLA,foamed elastomer,43.05983031987936,10.0,2.5,0.34228335289601386,0.5,0.34228335289601386,1.8620145279306641
Chiral,399,PLA,none,43.05983031987936,10.0,2.5,0.34228335289601386,0.5,0.34228335289601386,1.8620145279306641
Chiral,400,PLA,dense elastomer,10.79898617367376,10.0,2.5,0.7094879419843223,0.5,0.7094879419843223,1.148035062276517
Chiral,401,PLA,foamed elastomer,10.79898617367376,10.0,2.5,0.7094879419843223,0.5,0.7094879419843223,1.148035062276517
Chiral,402,PLA,none,10.79898617367376,10.0,2.5,0.7094879419843223,0.5,0.7094879419843223,1.148035062276517
Chiral,403,PLA,dense elastomer,29.400976127793403,10.0,2.5,0.945212506200756,0.5,0.945212506200756,1.4592640443644156
Chiral,404,PLA,foamed elastomer,29.400976127793403,10.0,2.5,0.945212506200756,0.5,0.945212506200756,1.4592640443644156
Chiral,405,PLA,none,29.400976127793403,10.0,2.5,0.945212506200756,0.5,0.945212506200756,1.4592640443644156
Chiral,406,PLA,dense elastomer,35.97593828185083,10.0,2.5,0.44234276970136716,0.5,0.44234276970136716,1.585432412930158
Chiral,407,PLA,foamed elastomer,35.97593828185083,10.0,2.5,0.44234276970136716,0.5,0.44234276970136716,1.585432412930158
Chiral,408,PLA,none,35.97593828185083,10.0,2.5,0.44234276970136716,0.5,0.44234276970136716,1.585432412930158
Chiral,409,PLA,dense elastomer,14.117180066963158,10.0,2.5,0.3894125632090423,0.5,0.3894125632090423,1.3033955232877914
Chiral,410,PLA,foamed elastomer,14.117180066963158,10.0,2.5,0.3894125632090423,0.5,0.3894125632090423,1.3033955232877914
Chiral,411,PLA,none,14.117180066963158,10.0,2.5,0.3894125632090423,0.5,0.3894125632090423,1.3033955232877914
Chiral,412,PLA,dense elastomer,10.223254472643536,10.0,2.5,0.8399536577262359,0.5,0.8399536577262359,1.2952943882746975
Chiral,413,PLA,foamed elastomer,10.223254472643536,10.0,2.5,0.8399536577262359,0.5,0.8399536577262359,1.2952943882746975
Chiral,414,PLA,none,10.223254472643536,10.0,2.5,0.8399536577262359,0.5,0.8399536577262359,1.2952943882746975
Chiral,415,PLA,dense elastomer,45.18019241704319,10.0,2.5,0.9942494889717637,0.5,0.9942494889717637,1.312744834428952
Chiral,416,PLA,foamed elastomer,45.18019241704319,10.0,2.5,0.9942494889717637,0.5,0.9942494889717637,1.312744834428952
Chiral,417,PLA,none,45.18019241704319,10.0,2.5,0.9942494889717637,0.5,0.9942494889717637,1.312744834428952
Chiral,418,PLA,dense elastomer,47.930957130033704,10.0,2.5,0.41692669995162274,0.5,0.41692669995162274,1.1829876390326468
Chiral,419,PLA,foamed elastomer,47.930957130033704,10.0,2.5,0.41692669995162274,0.5,0.41692669995162274,1.1829876390326468
Chiral,420,PLA,none,47.930957130033704,10.0,2.5,0.41692669995162274,0.5,0.41692669995162274,1.1829876390326468
Chiral,421,PLA,dense elastomer,37.23071966424322,10.0,2.5,0.8193900297684736,0.5,0.8193900297684736,1.4834167591761394
Chiral,422,PLA,foamed elastomer,37.23071966424322,10.0,2.5,0.8193900297684736,0.5,0.8193900297684736,1.4834167591761394
Chiral,423,PLA,none,37.23071966424322,10.0,2.5,0.8193900297684736,0.5,0.8193900297684736,1.4834167591761394
Chiral,424,PLA,dense elastomer,43.458312123976285,10.0,2.5,1.0901830534973433,0.5,1.0901830534973433,1.370729622422603
Chiral,425,PLA,foamed elastomer,43.458312123976285,10.0,2.5,1.0901830534973433,0.5,1.0901830534973433,1.370729622422603
Chiral,426,PLA,none,43.458312123976285,10.0,2.5,1.0901830534973433,0.5,1.0901830534973433,1.370729622422603
Chiral,427,PLA,dense elastomer,42.82949372909573,10.0,2.5,0.8073640702781165,0.5,0.8073640702781165,1.0134173103540125
Chiral,428,PLA,foamed elastomer,42.82949372909573,10.0,2.5,0.8073640702781165,0.5,0.8073640702781165,1.0134173103540125
Chiral,429,PLA,none,42.82949372909573,10.0,2.5,0.8073640702781165,0.5,0.8073640702781165,1.0134173103540125
Chiral,430,PLA,dense elastomer,22.71214835560623,10.0,2.5,0.8273450967427576,0.5,0.8273450967427576,1.8689546223006839
Chiral,431,PLA,foamed elastomer,22.71214835560623,10.0,2.5,0.8273450967427576,0.5,0.8273450967427576,1.8689546223006839
Chiral,432,PLA,none,22.71214835560623,10.0,2.5,0.8273450967427576,0.5,0.8273450967427576,1.8689546223006839
Chiral,433,PLA,dense elastomer,17.327095407194378,10.0,2.5,0.8247573254157498,0.5,0.8247573254157498,1.530690504282524
Chiral,434,PLA,foamed elastomer,17.327095407194378,10.0,2.5,0.8247573254157498,0.5,0.8247573254157498,1.530690504282524
Chiral,435,PLA,none,17.327095407194378,10.0,2.5,0.8247573254157498,0.5,0.8247573254157498,1.530690504282524
Chiral,436,PLA,dense elastomer,43.37738352165875,10.0,2.5,0.6152499275523837,0.5,0.6152499275523837,1.1049595970153117
Chiral,437,PLA,foamed elastomer,43.37738352165875,10.0,2.5,0.6152499275523837,0.5,0.6152499275523837,1.1049595970153117
Chiral,438,PLA,none,43.37738352165875,10.0,2.5,0.6152499275523837,0.5,0.6152499275523837,1.1049595970153117
Chiral,439,PLA,dense elastomer,36.436097947424635,10.0,2.5,0.4200489730557072,0.5,0.4200489730557072,1.1508124019933774
Chiral,440,PLA,foamed elastomer,36.436097947424635,10.0,2.5,0.4200489730557072,0.5,0.4200489730557072,1.1508124019933774
Chiral,441,PLA,none,36.436097947424635,10.0,2.5,0.4200489730557072,0.5,0.4200489730557072,1.1508124019933774
Chiral,442,PLA,dense elastomer,13.60981528412956,10.0,2.5,0.5151525034413287,0.5,0.5151525034413287,1.4799026932515047
Chiral,443,PLA,foamed elastomer,13.60981528412956,10.0,2.5,0.5151525034413287,0.5,0.5151525034413287,1.4799026932515047
Chiral,444,PLA,none,13.60981528412956,10.0,2.5,0.5151525034413287,0.5,0.5151525034413287,1.4799026932515047
Chiral,445,PLA,dense elastomer,28.786119257500967,10.0,2.5,0.5687876033555361,0.5,0.5687876033555361,1.946227858389074
Chiral,446,PLA,foamed elastomer,28.786119257500967,10.0,2.5,0.5687876033555361,0.5,0.5687876033555361,1.946227858389074
Chiral,447,PLA,none,28.786119257500967,10.0,2.5,0.5687876033555361,0.5,0.5687876033555361,1.946227858389074
Chiral,448,PLA,dense elastomer,11.9264186265703,10.0,2.5,0.32701413071610297,0.5,0.32701413071610297,1.1183807176353548
Chiral,449,PLA,foamed elastomer,11.9264186265703,10.0,2.5,0.32701413071610297,0.5,0.32701413071610297,1.1183807176353548
Chiral,450,PLA,none,11.9264186265703,10.0,2.5,0.32701413071610297,0.5,0.32701413071610297,1.1183807176353548
Chiral,451,PLA,dense elastomer,14.481836556675194,10.0,2.5,1.0724802902568233,0.5,1.0724802902568233,1.9819279854301532
Chiral,452,PLA,foamed elastomer,14.481836556675194,10.0,2.5,1.0724802902568233,0.5,1.0724802902568233,1.9819279854301532
Chiral,453,PLA,none,14.481836556675194,10.0,2.5,1.0724802902568233,0.5,1.0724802902568233,1.9819279854301532
Chiral,454,PLA,dense elastomer,15.179745180693056,10.0,2.5,0.36409839309904296,0.5,0.36409839309904296,1.810799495819016
Chiral,455,PLA,foamed elastomer,15.179745180693056,10.0,2.5,0.36409839309904296,0.5,0.36409839309904296,1.810799495819016
Chiral,456,PLA,none,15.179745180693056,10.0,2.5,0.36409839309904296,0.5,0.36409839309904296,1.810799495819016
Chiral,457,PLA,dense elastomer,42.56726848358723,10.0,2.5,0.7475781372495416,0.5,0.7475781372495416,1.6476513935062032
Chiral,458,PLA,foamed elastomer,42.56726848358723,10.0,2.5,0.7475781372495416,0.5,0.7475781372495416,1.6476513935062032
