Unit Cell,ID,Error,E1,E2,E3,Nu12,Nu13,Nu23,G12,G13,G23,Stiff volume,Total volume
Re-entrant,43,1.90E-06,47.24923609,271.8499875,491.1072531,-0.123545058,0.044064616,0.187130347,2.554730466,40.64804297,126.3821562,60.89432737,249.9999959
Re-entrant,44,1.33E-06,11.77930873,141.8329427,489.6965706,-0.203075821,0.007313816,0.087163892,1.987041133,40.12021484,126.0543125,60.89432737,249.9999959
Re-entrant,45,1.37E-06,11.42313697,139.1432637,489.6585402,-0.203785118,0.006998707,0.085249226,1.964555903,40.09992578,126.0417812,60.89432737,249.9999959
Re-entrant,46,4.12E-05,43.70628335,305.2734662,432.8002873,0.098158181,0.044048485,0.212858288,2.250857034,46.60313195,122.3013415,53.56224555,250.0000516
Re-entrant,47,4.05E-05,9.313930321,280.5211533,430.8796778,0.060919816,0.00657104,0.195218096,1.6658693,46.1420421,121.9853258,53.56224555,250.0000516
Re-entrant,48,4.02E-05,8.925998003,279.3412879,430.8402472,0.06067818,0.006214353,0.194510455,1.643223091,46.12438195,121.9732555,53.56224555,250.0000516
Re-entrant,49,4.71E-08,47.25178875,271.8770802,491.1074236,-0.123497116,0.044065401,0.187143076,2.550481932,40.64789844,126.3821797,60.89432737,250.0000075
Re-entrant,50,2.89E-08,11.77929071,141.8320391,489.6963928,-0.203076721,0.007314399,0.087164835,1.981981079,40.12026172,126.0543281,60.89432737,250.0000075
Re-entrant,51,5.08E-08,11.42307073,139.1416677,489.6583797,-0.203786554,0.006999246,0.085249719,1.959459228,40.09998828,126.0418047,60.89432737,250.0000075
Re-entrant,52,7.05E-05,62.46066043,155.3145061,581.4960591,-0.277919129,0.046826083,0.098872107,2.345682648,36.14723518,124.4942415,72.19557771,249.9999121
Re-entrant,53,7.30E-05,14.53136045,49.6989613,580.3204573,-0.454818996,0.007611581,0.025866108,1.67534753,35.4295985,124.1395225,72.19557771,249.9999121
Re-entrant,54,7.31E-05,14.03253979,48.2004384,580.2846946,-0.456550062,0.007254662,0.024919146,1.650103698,35.40183678,124.1259678,72.19557771,249.9999121
Re-entrant,67,7.19E-06,55.71546233,398.0275368,670.2668182,0.176033648,0.033079114,0.173182917,26.33578099,85.59992187,200.7687187,83.11392906,249.9999963
Re-entrant,68,7.40E-06,37.07971682,383.485404,668.4434837,0.150315011,0.016690781,0.172065054,25.79512272,85.17574218,200.4789531,83.11392906,249.9999963
Re-entrant,69,7.39E-06,36.90194385,383.2066157,668.4097855,0.150140486,0.016562278,0.171993841,25.77449186,85.15953124,200.467875,83.11392906,249.9999963
Re-entrant,70,6.05E-05,80.57070628,536.6581493,743.0800761,-0.036317929,0.041736346,0.225491939,12.29328846,75.44214037,212.2985618,92.21279414,250.0000711
Re-entrant,71,5.66E-05,45.01935133,493.9063239,741.4425016,-0.075678567,0.018272182,0.199927948,11.60840662,74.90003099,211.9991087,92.21279414,250.0000711
Re-entrant,72,5.66E-05,44.6828521,493.3023186,741.4106934,-0.075994909,0.018080111,0.199606897,11.58208128,74.87922631,211.9876711,92.21279414,250.0000711
Re-entrant,76,9.75E-05,80.6354462,536.7850904,743.1902988,-0.036299756,0.0417562,0.225507447,12.4097143,75.48823377,212.3301013,92.21272345,250.0000082
Re-entrant,77,0.00010122,45.06307625,494.0300169,741.5528927,-0.075687318,0.018287187,0.19994791,11.72702677,74.94596031,212.0307105,92.21272345,250.0000082
Re-entrant,78,0.0001012,44.7263816,493.4258798,741.521003,-0.076003934,0.018095072,0.19962696,11.70078636,74.92514781,212.0192574,92.21272345,250.0000082
Re-entrant,79,3.51E-06,100.2435271,382.5355798,859.7670606,-0.176499848,0.044010917,0.145356535,11.66246873,68.54336719,217.5610469,106.826545,250.0000278
Re-entrant,80,4.13E-06,54.77303708,281.2165265,858.3914298,-0.24887854,0.019199158,0.098381745,10.93063375,67.81546875,217.2300156,106.826545,250.0000278
Re-entrant,81,4.13E-06,54.34050197,279.967194,858.3625518,-0.249504477,0.018991759,0.097848627,10.90317477,67.78739062,217.2173594,106.826545,250.0000278
Re-entrant,82,3.47E-06,36.27749288,9.447062659,87.42073072,1.318229173,0.091611419,0.078446887,0.87252961,25.23933073,7.372135413,32.19335156,750.0003189
Re-entrant,83,3.73E-06,2.797806772,0.125128153,86.31262127,4.6106701,0.008075355,0.000796432,0.114157579,24.88773698,7.014335716,32.19335156,750.0003189
Re-entrant,84,6.74E-06,0.35305323,0.014927595,86.27191453,4.848071483,0.001244037,4.85E-05,0.083399657,24.87430126,7.000662189,32.19335156,750.0003189
Re-entrant,85,1.86E-05,9.872648677,4.745085358,80.22844569,1.278870097,0.011684127,0.047293466,0.506108639,20.24523958,11.21753836,29.37051418,750.0001644
