Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Upper strut length [mm],Lower strut length [mm]
Re-entrant,58,PLA,dense elastomer,10,10,2.5,1.25,0.05,1.25,2.75,1.25
Re-entrant,59,PLA,foamed elastomer,10,10,2.5,1.25,0.05,1.25,2.75,1.25
Re-entrant,60,PLA,none,10,10,2.5,1.25,0.05,1.25,2.75,1.25
Re-entrant,61,PLA,dense elastomer,10,10,2.5,1.25,0.05,1.25,4.25,1.25
Re-entrant,62,PLA,foamed elastomer,10,10,2.5,1.25,0.05,1.25,4.25,1.25
Re-entrant,63,PLA,none,10,10,2.5,1.25,0.05,1.25,4.25,1.25
Re-entrant,64,PLA,dense elastomer,10,10,2.5,1.25,0.05,1.25,1.25,2.75
Re-entrant,65,PLA,foamed elastomer,10,10,2.5,1.25,0.05,1.25,1.25,2.75
Re-entrant,66,PLA,none,10,10,2.5,1.25,0.05,1.25,1.25,2.75
Re-entrant,67,PLA,dense elastomer,10,10,2.5,1.25,0.05,1.25,2.75,2.75
Re-entrant,68,PLA,foamed elastomer,10,10,2.5,1.25,0.05,1.25,2.75,2.75
Re-entrant,69,PLA,none,10,10,2.5,1.25,0.05,1.25,2.75,2.75
Re-entrant,70,PLA,dense elastomer,10,10,2.5,1.25,0.05,1.25,4.25,2.75
Re-entrant,71,PLA,foamed elastomer,10,10,2.5,1.25,0.05,1.25,4.25,2.75
Re-entrant,72,PLA,none,10,10,2.5,1.25,0.05,1.25,4.25,2.75
Re-entrant,73,PLA,dense elastomer,10,10,2.5,1.25,0.05,1.25,1.25,4.25
Re-entrant,74,PLA,foamed elastomer,10,10,2.5,1.25,0.05,1.25,1.25,4.25
Re-entrant,75,PLA,none,10,10,2.5,1.25,0.05,1.25,1.25,4.25
Re-entrant,76,PLA,dense elastomer,10,10,2.5,1.25,0.05,1.25,2.75,4.25
Re-entrant,77,PLA,foamed elastomer,10,10,2.5,1.25,0.05,1.25,2.75,4.25
Re-entrant,78,PLA,none,10,10,2.5,1.25,0.05,1.25,2.75,4.25
Re-entrant,79,PLA,dense elastomer,10,10,2.5,1.25,0.05,1.25,4.25,4.25
Re-entrant,80,PLA,foamed elastomer,10,10,2.5,1.25,0.05,1.25,4.25,4.25
Re-entrant,81,PLA,none,10,10,2.5,1.25,0.05,1.25,4.25,4.25
Re-entrant,82,PLA,dense elastomer,30,10,2.5,0.25,0.05,0.25,3.75,3.75
Re-entrant,83,PLA,foamed elastomer,30,10,2.5,0.25,0.05,0.25,3.75,3.75
Re-entrant,84,PLA,none,30,10,2.5,0.25,0.05,0.25,3.75,3.75
Re-entrant,85,PLA,dense elastomer,30,10,2.5,0.25,0.05,0.25,8.25,3.75
Re-entrant,86,PLA,foamed elastomer,30,10,2.5,0.25,0.05,0.25,8.25,3.75
Re-entrant,87,PLA,none,30,10,2.5,0.25,0.05,0.25,8.25,3.75
Re-entrant,88,PLA,dense elastomer,30,10,2.5,0.25,0.05,0.25,12.75,3.75
Re-entrant,89,PLA,foamed elastomer,30,10,2.5,0.25,0.05,0.25,12.75,3.75
Re-entrant,90,PLA,none,30,10,2.5,0.25,0.05,0.25,12.75,3.75
Re-entrant,91,PLA,dense elastomer,30,10,2.5,0.25,0.05,0.25,3.75,8.25
Re-entrant,92,PLA,foamed elastomer,30,10,2.5,0.25,0.05,0.25,3.75,8.25
Re-entrant,93,PLA,none,30,10,2.5,0.25,0.05,0.25,3.75,8.25
Re-entrant,94,PLA,dense elastomer,30,10,2.5,0.25,0.05,0.25,8.25,8.25
Re-entrant,95,PLA,foamed elastomer,30,10,2.5,0.25,0.05,0.25,8.25,8.25
Re-entrant,96,PLA,none,30,10,2.5,0.25,0.05,0.25,8.25,8.25
Re-entrant,97,PLA,dense elastomer,30,10,2.5,0.25,0.05,0.25,12.75,8.25
Re-entrant,98,PLA,foamed elastomer,30,10,2.5,0.25,0.05,0.25,12.75,8.25
Re-entrant,99,PLA,none,30,10,2.5,0.25,0.05,0.25,12.75,8.25
Re-entrant,100,PLA,dense elastomer,30,10,2.5,0.25,0.05,0.25,3.75,12.75
Re-entrant,101,PLA,foamed elastomer,30,10,2.5,0.25,0.05,0.25,3.75,12.75
Re-entrant,102,PLA,none,30,10,2.5,0.25,0.05,0.25,3.75,12.75
Re-entrant,103,PLA,dense elastomer,30,10,2.5,0.25,0.05,0.25,8.25,12.75
Re-entrant,104,PLA,foamed elastomer,30,10,2.5,0.25,0.05,0.25,8.25,12.75
Re-entrant,105,PLA,none,30,10,2.5,0.25,0.05,0.25,8.25,12.75
Re-entrant,106,PLA,dense elastomer,30,10,2.5,0.25,0.05,0.25,12.75,12.75
Re-entrant,107,PLA,foamed elastomer,30,10,2.5,0.25,0.05,0.25,12.75,12.75
Re-entrant,108,PLA,none,30,10,2.5,0.25,0.05,0.25,12.75,12.75
Re-entrant,109,PLA,dense elastomer,30,10,2.5,0.75,0.05,0.75,3.75,3.75
Re-entrant,110,PLA,foamed elastomer,30,10,2.5,0.75,0.05,0.75,3.75,3.75
Re-entrant,111,PLA,none,30,10,2.5,0.75,0.05,0.75,3.75,3.75
